Number,Theme,Subtheme,Year,Set name,Minifigs,Pieces,RRP (GBP),RRP (USD),RRP (CAD),RRP (EUR),EAN,UPC,Width,Height,Depth,Weight,Notes,Qty owned,Qty owned new,Qty owned used,Wanted,Qty wanted,Priority,Flag 1 not used,Flag 2 not used,Flag 3 not used,Flag 4 not used,Flag 5 not used,Flag 6 not used,Flag 7 not used,Flag 8 not used,Value new (USD),Value used (USD),Launch date,Exit date
"854157-1","Gear","Key Chains/Minifigures",2022,"Lady Bug Girl Key Chain",,,4.99,5.99,7.99,5.99,,673419361507,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"854158-1","Gear","Key Chains/Minifigures",2022,"French Bull Dog Guy Key Chain",,,4.99,5.99,7.99,5.99,,673419361170,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"854159-1","Gear","Key Chains",2022,"2x4 Sand Green Key Chain",,,4.99,5.99,7.99,5.99,,673419361347,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"854186-1","Gear","Key Chains/Star Wars",2022,"Ahsoka Tano Key Chain",,,4.99,5.99,7.99,5.99,,673419361255,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"854187-1","Gear","Key Chains/Star Wars",2022,"Grogu Key Chain",,,4.99,5.99,7.99,5.99,,673419361262,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"854188-1","Gear","Key Chains/Star Wars",2022,"Darth Maul Key Chain",,,4.99,5.99,7.99,5.99,,673419361279,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"854189-1","Gear","Key Chains/Marvel Super Heroes",2022,"Black Panther Keyring",,,4.99,5.99,7.99,5.99,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"854190-1","Gear","Key Chains/Looney Tunes",2022,"Sylvester Key Chain",,,4.99,5.99,7.99,5.99,,673419364935,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"854191-1","Gear","Key Chains/Disney",2022,"Winnie the Pooh Key Chain",,,4.99,5.99,7.99,5.99,,673419362054,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"854193-1","Gear","Key Chains/Disney",2022,"Tigger Key Chain",,,4.99,5.99,7.99,4.99,,673419362078,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"854194-1","Gear","Key Chains/Sesame Street",2022,"Big Bird Key Chain",,,4.99,5.99,,4.99,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"854195-1","Gear","Key Chains/Sesame Street",2022,"Ernie Key Chain",,,4.99,5.99,,4.99,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"854196-1","Gear","Key Chains/Disney",2022,"Goofy Key Chain",,,4.99,5.99,7.99,5.99,,673419361491,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"854197-1","Gear","Key Chains/Stranger Things",2022,"Demogorgon Key Chain",,,4.99,5.99,6.99,4.99,,673419361101,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
